# Fila gamedevmap da segunda leva da Europa, colhida em 06/09
# Formato: nome,tipo,cidade,estado,pais,site,status
# Belgica 52, Italia 70, Portugal 26, Eslovaquia 24, Romenia 22, Austria 20, Estonia 17, Letonia 5.
# So os do tipo Developer e Developer and Publisher, ja passados pelo dedupe da campanha.
Elf Games,Developer,Brescia,Lombardia,Italy,https://www.elfgames.com,NOVO
EpochalStorm,Developer,Rome,Lazio,Italy,https://www.epochalstorm.com,NOVO
Event Horizon Studios,Developer,Turin,Piedmont,Italy,https://www.eventhorizonstudios.games,NOVO
Fantastico Studio,Developer and Publisher,Rome,Lazio,Italy,https://fantasticostudio.it/,NOVO
FLAT28 Collective,Developer,Milan,Lombardia,Italy,https://flat28-collective.itch.io/,NOVO
Forward Games,Developer,Rome,Lazio,Italy,https://www.forwardgames.com,NOVO
Funny Games,Developer,Imola,Emilia-Romagna,Italy,https://funnytales.us/,NOVO
Funny Tales,Developer,Milan,Lombardia,Italy,https://funnytales.us/,NOVO
Futurats,Developer,Turin,Piedmont,Italy,https://futurats.com/,NOVO
Gamera Interactive,Developer,Padua,Veneto,Italy,https://www.gamerainteractive.it/,NOVO
GhostShark Games,Developer,Rome,Lazio,Italy,https://www.ghostshark.it,NOVO
Haruneko Entertainment,Developer,Rome,Lazio,Italy,https://www.haruneko.com,NOVO
Heartbit Interactive,Developer,Piacenza,Emilia-Romagna,Italy,https://www.heartbit-interactive.com,NOVO
indiegala,Developer,Rome,Lazio,Italy,https://www.indiegala.com,NOVO
Indomitus Games,Developer,Milan,Lombardia,Italy,https://www.indomitusgames.com,NOVO
Innovina Interactive,Developer,Genova,Liguria,Italy,https://interactive.innovina.it/,NOVO
Innvervoid Interactive,Developer,Rome,Lazio,Italy,https://www.innervoid.net/,NOVO
Invader Studios,Developer,Rome,Lazio,Italy,https://invaderstudiosofficial.com/,NOVO
Ivan Venturi Production,Developer,Rome,Lazio,Italy,https://www.ivproductions.it,NOVO
Kid Onion Studio,Developer,Catania,Sicilia,Italy,https://rivertailsthegame.com/,NOVO
Kunos Simulazioni,Developer,Rome,Lazio,Italy,https://assettocorsa.gg/,NOVO
Little Sewing Machine,Developer,Catania,Sicilia,Italy,https://littlesewingmachine.com/,NOVO
LKA,Developer,Firenze,Toscana,Italy,http://www.lka.it,NOVO
Lullabyte Games,Developer,Turin,Piedmont,Italy,https://linktr.ee/lullabytegames,NOVO
Lunar Great Wall Studios,Developer,Milan,Lombardia,Italy,https://www.lgwstudios.com,NOVO
Mangatar,Developer,Milan,Lombardia,Italy,https://www.mangatar.net,NOVO
Meangrip Studios,Developer,Napoli,Napoli,Italy,https://meangrip.com/,NOVO
Memorable Games,Developer,Turin,Piedmont,Italy,https://memorable.games/,NOVO
Milestone,Developer,Milan,Lombardia,Italy,https://www.milestone.it,NOVO
Molleindustria,Developer,Turin,Piedmont,Italy,https://www.molleindustria.org,NOVO
Morbidware,Developer,Ciampino,Lazio,Italy,https://www.morbidwaregames.com/,NOVO
NAPS Team,Developer,Messino,Sicilia,Italy,https://www.napsteam.com,NOVO
Nexent Games,Developer,Milan,Lombardia,Italy,https://games.nexent.io/,NOVO
Nintendo Italia,Developer and Publisher,Vimercate,Lombardia,Italy,https://www.nintendo.it,NOVO
Ossocubo,Developer,Parabiago,Lombardia,Italy,https://www.ossocubo.com,NOVO
Ovosonico,Developer,Varese,Varese,Italy,https://www.ovosonico.com,NOVO
Panik Arcade,Developer,Ancona,San Marino,Italy,https://www.panikarcade.games/,NOVO
Picaresque Studio,Developer,Turin,Piedmont,Italy,https://www.picaresquestudio.com,NOVO
PlaySys,Developer,Milan,Lombardia,Italy,https://www.play-sys.com,NOVO
RaceWard Studio,Developer,Milan,Lombardia,Italy,https://racewardstudio.com/,NOVO
Red Koi Box,Developer,Brescia,Lombardia,Italy,https://redkoibox.it/,NOVO
Red Sky Games,Developer,Cologno Monzese,Lombardia,Italy,https://redskygames.com,NOVO
Rednoy,Developer,Rome,Lazio,Italy,https://fromyonder.net/,NOVO
Rortos,Developer,Verona,Veneto,Italy,https://www.rortos.com/,NOVO
