# FILA DO CANADA, colhida do gamedevmap em 08/09 a pedido do Vini.
# O gamedevmap tinha sido colhido so para EUROPA (347 portas) e OCEANIA. O Canada, que e o pais
# PRIORITARIO da campanha, nunca tinha sido varrido. Sao 487 estudios canadenses no gamedevmap;
# 61 a campanha ja tocou (por nome ou por dominio) e estes 426 nunca foram tocados.
# Colheita: https://www.gamedevmap.com/index.php?country=Canada&start=<1|101|201|301|401>&count=100
# ATENCAO, duas armadilhas medidas na colheita: (1) o PDF do Vini traz o link em http:// e o bridge
# desta maquina responde 'use CONNECT' em http puro, entao TEM que ser https://; (2) o parametro de
# pagina NAO e page=, e start= com count=, senao as cinco paginas devolvem as mesmas 105 linhas.
# O QUE FAZER COM ISTO: e fila do JHON, nao do prospector. O alvo e achar FORMULARIO de candidatura
# (careers, jobs, join-us, work-with-us) e o ATS por tras dele, nao email. Ordem: Vancouver, Montreal,
# Toronto, depois o resto.
# Formato: nome,tipo,cidade,estado,site,status
Ludia,,Mobile,Montreal,https://www.ludia.com/,porta:bamboohr
Ludica Health,,Health,Montreal,https://ludicahealth.com/,sem-pagina-de-carreira
Machine 22 (Dave Toulouse),,Microstudio,Montreal,https://machine22.com/,sem-pagina-de-carreira
ManaVoid Entertainment,,Developer,Montreal,https://manavoid.com/,sem-pagina-de-carreira
Marie LeBlanc Flanagan,,Developer,Montreal,https://marieflanagan.com/,sem-pagina-de-carreira
Meta4,,Online,Montreal,https://meta4.games/,pagina-sem-ats
Metric Empire,,Developer,Montreal,https://metricempire.com/,sem-pagina-de-carreira
Mino Games,,Mobile,Montreal,https://www.minogames.com/,porta+disciplina:jobs.lever.co,teamtailor
Mooncube Games,,Developer,Montreal,https://mooncubegames.com/,sem-pagina-de-carreira
Mount Royal Game Society,,Organization,Montreal,https://www.mrgs.ca/,sem-pagina-de-carreira
Namra Games,,Developer,Montreal,https://namragamedev.itch.io/,sem-pagina-de-carreira
Neonable,,Developer,Montreal,https://www.neonable.com/,pagina-sem-ats
NetEase Games,,Mobile,Montreal,https://www.neteasegames.com/,sem-pagina-de-carreira
Normal VR,,Extended Reality (XR),Montreal,https://normalvr.com/,pagina-sem-ats
Norsfell,,Developer,Montreal,https://www.norsfell.com/,pagina-sem-ats
Novaquark,,Developer,Montreal,https://www.novaquark.com/,sem-pagina-de-carreira
impossible,,Developer,Montreal,https://impossible.dev/,sem-pagina-de-carreira
2Dogs Games,,Developer,Toronto,https://2dogsgames.com/,sem-pagina-de-carreira
2K Play,,Developer and Publisher,Toronto,https://2k.com/,porta+disciplina:duplicata-greenhouse-2k
A Bit Awake,,Microstudio,Toronto,https://abitawake.com/,sem-pagina-de-carreira
Achimostawinan Games,,Developer,Toronto,https://achimogames.itch.io/,sem-pagina-de-carreira
Actual Humans,,Developer,Toronto,https://actualhumans.com/,sem-pagina-de-carreira
Adam Gryu,,Developer,Toronto,https://adamgryu.com/,sem-pagina-de-carreira
Albedo Informatics,,Mobile,Toronto,https://www.albedoinformatics.com/,sem-pagina-de-carreira
Alientrap,,Developer,Toronto,https://alientrap.com/,pagina-sem-ats
Alpha Channel (Kepler Interactive),,Developer,Toronto,https://alphachannelgames.com/,porta:teamtailor
Asteroid Base,,Developer,Toronto,http://asteroidbase.com/,sem-pagina-de-carreira
Autonomicity Games,,Mobile,Toronto,https://www.acitygames.com/,pagina-sem-ats
Axon Interactive,,Developer,Toronto,https://axoninteractive.ca/,bloqueado:403
Bad Jump Games,,Mobile,Toronto,http://badjumpgames.com/,sem-pagina-de-carreira
BancyCo,,Developer,Toronto,https://www.bancy.co/,pagina-sem-ats
Behold Studios,,Developer,Toronto,https://www.beholdstudios.com.br/,sem-pagina-de-carreira
Bellwood Studios,,Developer,Toronto,https://www.bellwoodstudios.com/,sem-pagina-de-carreira
Betterhalf Studios,,Developer,Toronto,https://betterhalffilms.com/betterhalf-studios,sem-pagina-de-carreira
Black Tabby Games,,Developer,Toronto,https://blacktabbygames.com/,sem-pagina-de-carreira
Blue Ocean Games,,Investment,Toronto,https://blueoceangames.com/,sem-pagina-de-carreira
Bluish-Green Productions,,Developer,Toronto,https://www.bluishgreenproductions.com/,sem-pagina-de-carreira
Bobby Technology,,Developer,Toronto,https://bobbybobbybobby.com/,sem-pagina-de-carreira
Brandon Braun,,Developer,Toronto,https://brodnork.tumblr.com/,bloqueado:429
Caged Element,,Developer,Toronto,https://gripracing.squarespace.com/,sem-pagina-de-carreira
Capybara Games,,Developer,Toronto,https://www.capybaragames.com/,pagina-sem-ats
Certain Affinity (Keywords),,Developer,Toronto,https://www.certainaffinity.com/,porta:jobvite-quadro-nao-lido
City from Naught,,Developer,Toronto,https://www.cityfromnaught.com/,sem-pagina-de-carreira
Cream Productions,,Developer,Toronto,https://creamproductions.com/,sem-pagina-de-carreira
DMG Toronto,,Organization,Toronto,https://www.dmg.to/,sem-pagina-de-carreira
Dark Slope Studios,,Extended Reality (XR),Toronto,https://www.darkslopestudios.com/,porta+disciplina:nenhum
Double Speak Games,,Microstudio,Toronto,https://doublespeakgames.com/,sem-pagina-de-carreira
Eleos Games,,Developer,Toronto,https://www.eleosgames.ca/,sem-pagina-de-carreira
Entertainment Software Association of Canada (ESAC),,Organization,Toronto,https://theesa.ca/,sem-pagina-de-carreira
Evil Trout,,Developer,Toronto,https://eviltrout.com/,sem-pagina-de-carreira
Fantasy Tales Online,,Online,Toronto,https://www.fantasytalesonline.com/,sem-pagina-de-carreira
Finish Line Games,,Developer,Toronto,https://www.finishlinegames.com/,pagina-sem-ats
Fractal Phase,,Developer,Toronto,https://fractalphase.com/,sem-pagina-de-carreira
Furcula,,Developer,Toronto,https://furcula.ca/,sem-pagina-de-carreira
Galacanine Entertainment Software,,Microstudio,Toronto,https://www.galacanine.com/,sem-pagina-de-carreira
Game Arts International Network (GAIN),,Organization,Toronto,https://gaiasymposium.net/,sem-pagina-de-carreira
Game Hive,,Mobile,Toronto,https://www.gamehive.com/,porta+disciplina:nenhum
GameHive,,Mobile,Toronto,https://www.gamehive.com/,porta+disciplina:nenhum
Games by Stitch,,Developer,Toronto,https://www.gamesbystitch.com/,pagina-sem-ats
