estudio,cidade,provincia,quadro,estado,detalhe,disciplinas
Toast VR,Burleigh Heads,Australia,https://toast.games/careers/,sem-arte,"200, 3188 chars",
Torus Games,Melbourne,Australia,http://www.torus.com.au/index.php?page=jobs,erro,HTTP Error 403: Forbidden,
Toybox Animation,Auckland,New Zealand,http://toybox.co.nz/,erro,HTTP Error 403: Forbidden,
Tripledot Studios,Melbourne,Australia,https://tripledotstudios.pinpointhq.com/#js-careers-jobs-block,sem-arte,"200, 117996 chars",
True Axis,Melbourne,Australia,http://trueaxis.com/,erro,HTTP Error 403: Forbidden,
Two and a Half Studios,Hobart,Australia,https://www.twoandahalfstudios.com/,sem-arte,"200, 3402 chars",
Two Bulls,Melbourne,Australia,https://www.twobulls.com/careers/,erro,HTTP Error 404: Not Found,
Two Tractors,Melbourne,Australia,https://twotractors.com.au/,sem-arte,"200, 9434 chars",
Ultimate Studio,Melbourne,Australia,https://ultimate.studio/jobs/,sem-arte,"200, 3209 chars",
Ultimerse,Melbourne,Australia,https://ultimerse.com/,sem-arte,"200, 2800 chars",
Undeclared Variable,Sydney,Australia,https://www.undeclared-variable.com/,sem-arte,"200, 7179 chars",
Unlisted,Richmond,Australia,https://unlisted.co/,sem-arte,"200, 2434 chars",
Uppercut Games,Canberra,Australia,https://www.seek.com.au/Uppercut-Games-jobs/at-this-company,erro,HTTP Error 403: Forbidden,
Upsurge Studios,Melbourne,Australia,https://www.upsurgestudios.com/careers/,ARTE,200,character artist
Urban Voyage Studios,Auckland,New Zealand,http://urbanvoyage.com/,erro,HTTP Error 403: Forbidden,
ustwo,Sydney,Australia,https://www.ustwo.com/join-us,sem-arte,"200, 6940 chars",
VANDAL,Sydney,Australia,https://vandal.sydney/,sem-arte,"200, 1272 chars",
VGW,Perth,Australia,https://www.vgw.co/,sem-arte,"200, 3881 chars",
Viskatoons,Melbourne,Australia,https://www.viskatoons.com/,sem-arte,"200, 2134 chars",
Weforge Studio,Sydney,Australia,https://www.weforgestudio.com/blank,sem-arte,"200, 11707 chars",
Wicked Workshop,Melbourne,Australia,https://www.wickedworkshop.com.au/careers,sem-arte,"200, 6199 chars",
Wingnut AR,Wellington,New Zealand,https://careers.wetafx.co.nz/jobs,js,"200, corpo de 147 chars",
Winterwire Games,Perth,Australia,https://winterwiregames.com/,erro,HTTP Error 403: Forbidden,
WRESTLER,Wellington,New Zealand,https://www.wrestler.nz/jobs,erro,HTTP Error 404: Not Found,
Wymac Gaming Solutions,Melbourne,Australia,http://www.wymac.com.au/,erro,HTTP Error 403: Forbidden,
Yak & Co,Melbourne,Australia,http://yakand.co/,erro,HTTP Error 403: Forbidden,
Zero Latency,Melbourne,Australia,https://zerolatencyvr.com/careers,js,"200, corpo de 106 chars",
Zero One,Melbourne,Australia,https://zeroonestudio.com/jobs/,js,"200, corpo de 231 chars",
