id,title,location,type,department,url
214973,Development Manager - EA Sports Tech,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Development-Manager-Sports-Tech/214973
214975,Development Manager - EA Sports Technology Group,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Development-Manager-Sports-Tech/214975
215247,Gameplay Software Engineer - Unannounced Project,"Seoul, Korea, Republic of",Regular Employee,EA Studios - Mobile Korea,https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer/215247
215285,UI Artist,"Shanghai, China",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/UI-Artist/215285
215292,"Responsable des opérations - recherche et développement/Head of Operations, Research & Development","Montreal, Canada",Regular Employee,Other,https://jobs.ea.com/en_US/careers/JobDetail/Head-of-Operations-Research-Development/215292
215308,ViewModel Animator (Apex Legends),"Vancouver - Great Northern Way, Canada",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/ViewModel-Animator-Apex-Legends/215308
215333,"Senior Analyst - The Sims, Enterprise Intelligence","Vancouver, Canada",Regular Employee,CT - Data & Insights,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Analyst-The-Sims-Enterprise-Intelligence/215333
215358,Character Artist - EA Sports FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Character-Artist-EA-Sports-FC/215358
215361,Technical Artist - EA SPORTS FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Technical-Artist-EA-SPORTS-FC/215361
215364,"Product Market Lead, Apex Legends Japan","Offsite - Japan, Japan",Regular Employee,Global Publishing - APAC,https://jobs.ea.com/en_US/careers/JobDetail/Product-Market-Lead-Apex-Legends-Japan/215364
215365,"Market Analyst, Apex Legends Japan","Offsite - Japan, Japan",Regular Employee,Global Publishing - APAC,https://jobs.ea.com/en_US/careers/JobDetail/Market-Analyst-Apex-Legends-Japan/215365
215372,Développeur.se sénior.e de logiciels/ Senior Engine Software Developer - Iron Man,"Montreal, Canada",Regular Employee,EA Studios - Motive Montreal,https://jobs.ea.com/en_US/careers/JobDetail/Engine-Programmer/215372
215382,Advanced Data Analyst - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Advanced-Analyst/215382
215389,"Senior Publishing Manager, FC Online, SEA (Vietnam)","Singapore, Singapore",Regular Employee,Global Publishing - APAC,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Publishing-Manager-FC-Online-SEA-Vietnam/215389
215403,Animation Director,"Orlando, United States of America",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Animation-Director/215403
215414,"Director, PE Business Partner - AI & UGC","Redwood City, United States of America",Regular Employee,People Experience & Workplaces,https://jobs.ea.com/en_US/careers/JobDetail/Director-PE-Business-Partner-AI-UGC/215414
215417,Concepteur.trice de l’expérience II / Experience Designer II,"Montreal, Canada",Regular Employee,EA Studios - Full Circle,https://jobs.ea.com/en_US/careers/JobDetail/Experience-Designer-II/215417
215418,Animateur.trice technique sénior.e / Senior Technical Animator,"Vancouver, Canada",Regular Employee,EA Studios - Full Circle,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Technical-Animator/215418
215420,Interactive Technical Artist - EA Sports FC,"Southam, United Kingdom",Temporary - with Benefits (EU & Malaysia),EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Interactive-Technical-Artist-EA-Sports-FC/215420
215422,Gameplay Designer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Gameplay-Designer-EA-SPORTS-FC/215422
215611,Physics Engineer,"Stockholm, Sweden",Temporary - with Benefits (EU & Malaysia),EA Studios - DICE Stockholm,https://jobs.ea.com/en_US/careers/JobDetail/Physics-Engineer/215611
