id,title,location,type,department,url
215674,Technical Artist (DCC) - EA SPORTS FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Technical-Artist-EA-SPORTS-FC-TFT/215674
215675,Software Engineer III,"Kuala Lumpur, Malaysia",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-III/215675
215680,Game Designer II,"Hyderabad, India",Regular Employee,EA Mobile - Slingshot Games (India),https://jobs.ea.com/en_US/careers/JobDetail/Game-Designer-II/215680
215682,"SVP, General Manager – Battlefield","Los Angeles - Del Rey, United States of America",Regular Employee,Other,https://jobs.ea.com/en_US/careers/JobDetail/VP-General-Manager-Battlefield/215682
215687,Senior Technical Artist – Character Rigging & Technology,"Orlando, United States of America",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Technical-Artist-EA-SPORTS-Tech/215687
215693,Senior Accountant I,"Hyderabad, India",Regular Employee,Finance,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Accountant-I/215693
215696,"Développeur.se sénior.e d’outils /Senior Full Stack Developer, AI & Tools (Apex Legends)","Vancouver - Great Northern Way, Canada",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Full-Stack-Developer-AI-and-Tools-Apex-Legends/215696
215699,Gameplay Engineer (Apex Legends),"Vancouver - Great Northern Way, Canada",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Gameplay-Engineer-Apex-Legends/215699
215702,"Server Engineer, Unannounced 3A Project","Shanghai, China",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Server-Engineer-Unannounced-3A-Project/215702
215703,Video Editor,"Guildford, United Kingdom",Temporary - with Benefits (EU & Malaysia),EA Studios - Criterion Games,https://jobs.ea.com/en_US/careers/JobDetail/Video-Editor/215703
215705,"Client Engineer, Unannounced 3A Project","Shanghai, China",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Client-Engineer-Unannounced-3A-Project/215705
215707,Technical Program Manager - Site Reliability Engineering (SRE),"Vancouver, Canada",Regular Employee,CT - Infrastructure & Platform,https://jobs.ea.com/en_US/careers/JobDetail/Technical-Program-Manager-III/215707
215708,Site Reliability Engineer III,"Vancouver, Canada",Regular Employee,CT - Infrastructure & Platform,https://jobs.ea.com/en_US/careers/JobDetail/Site-Reliability-Engineer-III/215708
215709,Technical Program Manager II (temporary),"Vancouver, Canada",Temporary Employee,CT - Infrastructure & Platform,https://jobs.ea.com/en_US/careers/JobDetail/Technical-Program-Manager/215709
215712,SSE AI,"Hyderabad, India",Regular Employee,CT - IT,https://jobs.ea.com/en_US/careers/JobDetail/Sr-Software-Engineer-AI-Native-Operations-Platform/215712
215714,Development Director - American Football,"Austin, United States of America",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Development-Director-American-Football/215714
215715,Content Designer - Madden,"Orlando, United States of America",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Associate-Game-Designer/215715
215726,Concept Artist,"Kuala Lumpur, Malaysia",Regular Employee,EA Studios - EA Create,https://jobs.ea.com/en_US/careers/JobDetail/Concept-Artist/215726
215727,Senior Detection Engineer,"Guildford, United Kingdom",Regular Employee,CT - Security,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Detection-Engineer/215727
215730,Senior Data Analyst,"Vancouver, Canada",Regular Employee,CT - Data & Insights,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Data-Analyst-Enterprise-Intelligence/215730
215733,Sr Data Scientist,"Austin, United States of America",Regular Employee,CT - Security,https://jobs.ea.com/en_US/careers/JobDetail/Sr-Data-Scientist/215733
215736,Line Producer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Line-Producer-EA-SPORTS-FC/215736
215737,Senior Technical Artist (Apex Legends),"Vancouver - Great Northern Way, Canada",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Technical-Artist-Apex-Legends/215737
215743,.NET Software Engineer - EA SPORTS™ FC,"Bucharest, Romania",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/NET-Software-Engineer-EA-SPORTS-FC/215743
215744,"Workplace Experience Manager, Site Lead","Los Angeles - Del Rey, United States of America",Regular Employee,People Experience & Workplaces,https://jobs.ea.com/en_US/careers/JobDetail/Workplace-Experience-Manager-Site-Lead/215744
215745,.NET Software Engineer - EA SPORTS™ FC,"Bucharest, Romania",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/NET-Software-Engineer-EA-SPORTS-FC/215745
215748,Senior Technical Artist – Tools and Pipelines – EA SPORTS F1,"Birmingham, United Kingdom",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Technical-Artist-Tools-and-Pipelines-EA-SPORTS-F1/215748
215749,"Finance Manager, FP&A - Sports Technology & Tracab","Vancouver, Canada",Regular Employee,Finance,https://jobs.ea.com/en_US/careers/JobDetail/Finance-Manager-FP-A-Sports-Technology-Tracab/215749
215775,"Director, Game Product Manager","London - Stratford, United Kingdom",Regular Employee,EA Mobile - Playdemic,https://jobs.ea.com/en_US/careers/JobDetail/Director-Game-Product-Manager/215775
215778,Economy Game Product Manager - EA SPORTS™ F1,"Birmingham, United Kingdom",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Economy-Game-Product-Manager-EA-SPORTS-F1/215778
215780,"Senior Manager, Business Development","Redwood City, United States of America",Regular Employee,"Bus Affairs, Bus Dev & Corp Dev",https://jobs.ea.com/en_US/careers/JobDetail/Senior-Manager-of-Business-Development/215780
215782,Associate Cinematics Designer - EA Sports FC,"Bucharest, Romania",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Associate-Cinematics-Designer-EA-Sports-FC/215782
215784,Assistant Producer - EA SPORTS™ FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Assistant-Producer-EA-SPORTS-FC/215784
215786,Generalist Software Engineer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Generalist-Software-Engineer-FC/215786
215787,Gameplay Software Engineer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Gameplay-Software-Engineer-FC/215787
